# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
161 0.20419973134994507 -0.15655779838562012 1.0834863185882568 255 255 255 1.0 4 160
162 -0.19359290599822998 -0.16212591528892517 1.1359864473342896 255 255 255 1.0 4 161
163 -0.25643494725227356 -0.16828198730945587 1.1828635931015015 255 255 255 1.0 4 162
164 -0.19837689399719238 -0.16180220246315002 1.140412449836731 255 255 255 1.0 4 163
165 -0.19672174751758575 -0.16174624860286713 1.1400810480117798 255 255 255 1.0 4 164
166 0.21473556756973267 -0.15393921732902527 1.0806937217712402 255 255 255 1.0 4 165
167 -0.19729653000831604 -0.16006779670715332 1.1363805532455444 255 255 255 1.0 4 166
168 -0.14663352072238922 -0.1549413949251175 1.0983644723892212 255 255 255 1.0 4 167
169 -0.2603617310523987 -0.16674993932247162 1.1873689889907837 255 255 255 1.0 4 168
170 -0.19607681035995483 -0.1595856249332428 1.1362167596817017 255 255 255 1.0 4 169
171 0.20764358341693878 -0.15240612626075745 1.077388048171997 255 255 255 1.0 4 170
172 0.2160411775112152 -0.1532023549079895 1.0836775302886963 255 255 255 1.0 4 171
173 -0.18240101635456085 -0.1577347368001938 1.1236106157302856 255 255 255 1.0 4 172
174 0.19601884484291077 -0.15058602392673492 1.067755103111267 255 255 255 1.0 4 173
175 0.21415485441684723 -0.1522267460823059 1.080001950263977 255 255 255 1.0 4 174
176 0.20351280272006989 -0.15147925913333893 1.0756922960281372 255 255 255 1.0 4 175
177 0.2658982276916504 -0.16002537310123444 1.137723684310913 255 255 255 1.0 4 176
178 -0.2557467222213745 -0.16530092060565948 1.1834378242492676 255 255 255 1.0 4 177
179 0.21633237600326538 -0.1514127254486084 1.083330512046814 255 255 255 1.0 4 178
180 -0.19523201882839203 -0.15694691240787506 1.1339408159255981 255 255 255 1.0 4 179
181 0.19663752615451813 -0.1485747992992401 1.0671581029891968 255 255 255 1.0 4 180
182 0.1702752262353897 -0.14676111936569214 1.0570130348205566 255 255 255 1.0 4 181
183 -0.2376520037651062 -0.16051247715950012 1.1659082174301147 255 255 255 1.0 4 182
184 0.19137978553771973 -0.14755505323410034 1.065412163734436 255 255 255 1.0 4 183
185 0.1731003075838089 -0.14649632573127747 1.0586059093475342 255 255 255 1.0 4 184
186 -0.18965433537960052 -0.1550833284854889 1.1289987564086914 255 255 255 1.0 4 185
187 -0.18843258917331696 -0.15482182800769806 1.1287792921066284 255 255 255 1.0 4 186
188 -0.1473645567893982 -0.1493973433971405 1.0899362564086914 255 255 255 1.0 4 187
189 -0.1959296613931656 -0.15461330115795135 1.1311827898025513 255 255 255 1.0 4 188
190 -0.15722638368606567 -0.1508287638425827 1.1025092601776123 255 255 255 1.0 4 189
191 -0.12869735062122345 -0.14734092354774475 1.0773881673812866 255 255 255 1.0 4 190
192 0.21355468034744263 -0.14862486720085144 1.082553505897522 255 255 255 1.0 4 191
193 -0.12483900785446167 -0.1465958058834076 1.0740008354187012 255 255 255 1.0 4 192
194 0.1800539344549179 -0.14496542513370514 1.0579140186309814 255 255 255 1.0 4 193
195 0.17537014186382294 -0.14433975517749786 1.0539791584014893 255 255 255 1.0 3 1819 4 194
196 0.18135768175125122 -0.14440391957759857 1.0568583011627197 255 255 255 1.0 4 195
197 0.16343410313129425 -0.14313006401062012 1.0489951372146606 255 255 255 1.0 3 1828 4 196
198 0.17938439548015594 -0.14417915046215057 1.0584192276000977 255 255 255 1.0 4 197 4 199
199 -0.15731114149093628 -0.14927566051483154 1.1052504777908325 255 255 255 1.0 4 198
200 0.1819947361946106 -0.14327095448970795 1.0563101768493652 255 255 255 1.0 4 197 4 199
201 0.1758762001991272 -0.14323756098747253 1.0573400259017944 255 255 255 1.0 4 200
202 0.002992667956277728 -0.13324259221553802 0.9880658388137817 255 255 255 1.0 4 201
203 -0.2500814199447632 -0.15649889409542084 1.1722509860992432 255 255 255 1.0 4 202
204 -0.172250896692276 -0.1483202576637268 1.1091135740280151 255 255 255 1.0 4 203
205 0.0755593329668045 -0.13747282326221466 1.0378282070159912 255 255 255 1.0 4 204
206 0.17116756737232208 -0.1398569494485855 1.0533479452133179 255 255 255 1.0 4 205
207 0.17313863337039948 -0.1396636962890625 1.0518056154251099 255 255 255 1.0 4 206
208 0.17549292743206024 -0.13964630663394928 1.0575331449508667 255 255 255 1.0 4 207
209 -0.2032669335603714 -0.14814478158950806 1.1298376321792603 255 255 255 1.0 4 208
210 0.09541433304548264 -0.13644245266914368 1.0349767208099365 255 255 255 1.0 4 209
211 0.2599882185459137 -0.14690224826335907 1.117405652999878 255 255 255 1.0 4 210
212 -0.21241995692253113 -0.1484813243150711 1.138274073600769 255 255 255 1.0 4 211
213 -0.20411519706249237 -0.14751273393630981 1.130129337310791 255 255 255 1.0 4 212
214 0.0947200357913971 -0.1358746588230133 1.0354186296463013 255 255 255 1.0 4 213
215 0.05896584689617157 -0.13499011099338531 1.0335791110992432 255 255 255 1.0 4 214
216 -0.20686951279640198 -0.14663073420524597 1.1341806650161743 255 255 255 1.0 4 215
217 -0.21512147784233093 -0.14666412770748138 1.1357996463775635 255 255 255 1.0 4 216
218 -0.21075230836868286 -0.14618134498596191 1.1317123174667358 255 255 255 1.0 4 217
219 -0.20952889323234558 -0.1459236443042755 1.131519079208374 255 255 255 1.0 4 218
220 0.09887026995420456 -0.1344517320394516 1.037043571472168 255 255 255 1.0 4 219
221 0.3048489987850189 -0.14909449219703674 1.1507675647735596 255 255 255 1.0 4 220
222 0.29733458161354065 -0.14782483875751495 1.1418832540512085 255 255 255 1.0 4 221
223 -0.2780084013938904 -0.15703728795051575 1.2299617528915405 255 255 255 1.0 4 222
224 0.2999124228954315 -0.14740951359272003 1.145599365234375 255 255 255 1.0 4 223
225 -0.06356678158044815 -0.13648951053619385 1.0652408599853516 255 255 255 1.0 4 224
226 0.29770517349243164 -0.1471957415342331 1.1466236114501953 255 255 255 1.0 4 225
227 -0.06472015380859375 -0.136126309633255 1.0657140016555786 255 255 255 1.0 4 226
228 0.30450645089149475 -0.1475473791360855 1.1524502038955688 255 255 255 1.0 4 227
229 -0.21800875663757324 -0.14435534179210663 1.1360551118850708 255 255 255 1.0 4 228
230 -0.06625721603631973 -0.13578149676322937 1.0663269758224487 255 255 255 1.0 4 229
231 0.10005974024534225 -0.13132406771183014 1.031280755996704 255 255 255 1.0 4 230
232 0.10250554978847504 -0.13168495893478394 1.0339174270629883 255 255 255 1.0 4 231
233 -0.06298496574163437 -0.13469471037387848 1.0613727569580078 255 255 255 1.0 4 232
234 0.3038233816623688 -0.14618460834026337 1.151637077331543 255 255 255 1.0 4 233
235 -0.06435712426900864 -0.13484682142734528 1.0657159090042114 255 255 255 1.0 4 234
236 -0.06757368892431259 -0.13408131897449493 1.0631617307662964 255 255 255 1.0 4 235
237 -0.06642851233482361 -0.13402555882930756 1.0627403259277344 255 255 255 1.0 4 236
238 -0.061860498040914536 -0.13377293944358826 1.0617733001708984 255 255 255 1.0 4 237
239 -0.06872964650392532 -0.13350792229175568 1.0636545419692993 255 255 255 1.0 4 238
240 -0.2185852974653244 -0.14265581965446472 1.1413450241088867 255 255 255 1.0 4 239
241 0.11812981963157654 -0.13083571195602417 1.0390974283218384 255 255 255 1.0 4 240
242 -0.21195493638515472 -0.14082024991512299 1.129655122756958 255 255 255 1.0 4 241
243 0.07436215877532959 -0.12852415442466736 1.0257314443588257 255 255 255 1.0 4 242
244 0.08899486064910889 -0.129507377743721 1.0365781784057617 255 255 255 1.0 4 243
245 0.09175892919301987 -0.12930139899253845 1.0348706245422363 255 255 255 1.0 4 244
246 0.11785490810871124 -0.12998764216899872 1.0409959554672241 255 255 255 1.0 4 245
247 0.08978662639856339 -0.12889622151851654 1.0327693223953247 255 255 255 1.0 4 246
248 0.12049124389886856 -0.12954477965831757 1.0409793853759766 255 255 255 1.0 4 247
249 0.3069818615913391 -0.14124110341072083 1.143611192703247 255 255 255 1.0 4 248
250 0.13301807641983032 -0.12896376848220825 1.044681191444397 255 255 255 1.0 4 249
251 0.12841136753559113 -0.12820647656917572 1.0399305820465088 255 255 255 1.0 4 250
252 0.23036617040634155 -0.13563446700572968 1.1036995649337769 255 255 255 1.0 4 251
253 0.09070348739624023 -0.12709739804267883 1.035567283630371 255 255 255 1.0 4 252
254 -0.08393018692731857 -0.13126398622989655 1.0756723880767822 255 255 255 1.0 4 253
255 0.22789639234542847 -0.1345285028219223 1.0970908403396606 255 255 255 1.0 4 254
256 0.30942273139953613 -0.14002075791358948 1.1420845985412598 255 255 255 1.0 4 255
257 0.30463266372680664 -0.13912497460842133 1.1407891511917114 255 255 255 1.0 4 256
258 0.054247286170721054 -0.12587258219718933 1.0341347455978394 255 255 255 1.0 4 257 4 260
259 0.08872456103563309 -0.12586836516857147 1.0334821939468384 255 255 255 1.0 4 258
260 0.08999674767255783 -0.1255868822336197 1.0318700075149536 255 255 255 1.0 4 259
261 0.2299157977104187 -0.13388125598430634 1.0995863676071167 255 255 255 1.0 4 257 4 260
262 0.05128651112318039 -0.12492172420024872 1.0326036214828491 255 255 255 1.0 4 261
263 0.31412503123283386 -0.13812841475009918 1.1431525945663452 255 255 255 1.0 4 262
264 0.12098891288042068 -0.12498916685581207 1.0362931489944458 255 255 255 1.0 4 263
265 0.31467902660369873 -0.1375473290681839 1.1409599781036377 255 255 255 1.0 4 264
266 0.14382630586624146 -0.12603865563869476 1.045917272567749 255 255 255 1.0 4 265
267 0.3131994903087616 -0.13778585195541382 1.1442097425460815 255 255 255 1.0 4 266
268 0.05458688363432884 -0.12419753521680832 1.0340111255645752 255 255 255 1.0 4 267
269 0.22880835831165314 -0.13154356181621552 1.0960755348205566 255 255 255 1.0 4 268
270 0.31359267234802246 -0.13728392124176025 1.1461626291275024 255 255 255 1.0 4 269 4 270
271 0.2247522920370102 -0.13063597679138184 1.091044306755066 255 255 255 1.0 4 269 4 270
272 0.2499006986618042 -0.13134068250656128 1.0972400903701782 255 255 255 1.0 4 271
273 0.14499546587467194 -0.1246892586350441 1.0441250801086426 255 255 255 1.0 4 272
274 0.1469144970178604 -0.12508876621723175 1.0472713708877563 255 255 255 1.0 4 273
275 0.2283778190612793 -0.13047826290130615 1.0920336246490479 255 255 255 1.0 4 274
276 -0.05951739847660065 -0.12637537717819214 1.065507173538208 255 255 255 1.0 4 275
277 0.22748568654060364 -0.12989963591098785 1.0916821956634521 255 255 255 1.0 4 276
278 -0.010510054416954517 -0.11915215849876404 1.0057692527770996 255 255 255 1.0 4 277
279 -0.009390757419168949 -0.11881610006093979 1.0023924112319946 255 255 255 1.0 4 278
280 0.14574678242206573 -0.12414297461509705 1.0471924543380737 255 255 255 1.0 4 279
281 0.22674894332885742 -0.12976227700710297 1.0935033559799194 255 255 255 1.0 4 280
282 0.319661408662796 -0.13537703454494476 1.141597867012024 255 255 255 1.0 4 281
283 -0.26266276836395264 -0.141412615776062 1.2032979726791382 255 255 255 1.0 4 282
284 -0.2512810230255127 -0.1397039145231247 1.1892982721328735 255 255 255 1.0 4 283
285 0.22963011264801025 -0.12879909574985504 1.090765118598938 255 255 255 1.0 4 284
286 0.05219077691435814 -0.12125585228204727 1.0290499925613403 255 255 255 1.0 4 285
287 -0.25053703784942627 -0.13819296658039093 1.1858810186386108 255 255 255 1.0 4 286
288 -0.08260510861873627 -0.12557117640972137 1.073465347290039 255 255 255 1.0 4 287
289 0.0479571558535099 -0.1211135983467102 1.0313968658447266 255 255 255 1.0 3 2445 4 288
290 0.12331211566925049 -0.12147675454616547 1.0346976518630981 255 255 255 1.0 4 289
291 0.16532444953918457 -0.12362128496170044 1.0546756982803345 255 255 255 1.0 4 290
292 0.2240535318851471 -0.12805499136447906 1.0915414094924927 255 255 255 1.0 4 291
293 0.14496488869190216 -0.12216820567846298 1.0441155433654785 255 255 255 1.0 4 292
294 0.04940859228372574 -0.12052885442972183 1.033040165901184 255 255 255 1.0 4 293
295 0.08658438175916672 -0.12018226087093353 1.0291087627410889 255 255 255 1.0 4 294
296 0.23023369908332825 -0.12696833908557892 1.0900880098342896 255 255 255 1.0 4 295
297 0.23139680922031403 -0.1261989027261734 1.0845845937728882 255 255 255 1.0 4 296
298 0.24848617613315582 -0.12659187614917755 1.089237093925476 255 255 255 1.0 4 297
299 0.21957504749298096 -0.126731738448143 1.0944362878799438 255 255 255 1.0 4 298
300 0.22136735916137695 -0.1263536810874939 1.089584469795227 255 255 255 1.0 4 299
301 -0.056126344949007034 -0.12184809148311615 1.0584168434143066 255 255 255 1.0 4 300
302 -0.048766814172267914 -0.12121211737394333 1.0524545907974243 255 255 255 1.0 4 301
303 0.21501322090625763 -0.12567920982837677 1.0887802839279175 255 255 255 1.0 4 302
304 0.2307422161102295 -0.12538625299930573 1.0851500034332275 255 255 255 1.0 4 303
305 -0.04835443198680878 -0.12172983586788177 1.0591660737991333 255 255 255 1.0 4 304
306 0.08110801875591278 -0.11813343316316605 1.0243335962295532 255 255 255 1.0 4 305 4 306
307 0.22151155769824982 -0.12587493658065796 1.0926238298416138 255 255 255 1.0 4 305 4 306
308 0.31640222668647766 -0.13076262176036835 1.1341354846954346 255 255 255 1.0 4 307
309 0.19513656198978424 -0.1236652284860611 1.0736894607543945 255 255 255 1.0 4 308
